Date,Time,Rain,Ms_2m,Ms_4m,Ms_10m,Ms_20m,Ms_40m,Ms_80m,Ms_120m,Ms_160m
20130101,0:00,0,3.983,7.941,7.274,10.7,12.13,20.73,25.6,22.48
20130101,0:10,0,3.972,7.931,7.27,10.7,12.13,20.73,25.6,22.48
20130101,0:20,0,3.964,7.921,7.266,10.7,12.13,20.72,25.6,22.48
20130101,0:30,0,3.952,7.912,7.263,10.7,12.13,20.71,25.6,22.48
20130101,0:40,0,3.946,7.903,7.258,10.7,12.14,20.7,25.6,22.48
20130101,0:50,0,3.937,7.894,7.254,10.7,12.14,20.69,25.6,22.47
20130101,1:00,0,3.93,7.886,7.246,10.7,12.13,20.68,25.6,22.48
20130101,1:10,0,3.922,7.879,7.244,10.7,12.14,20.67,25.6,22.47
20130101,1:20,0,3.915,7.869,7.235,10.7,12.14,20.67,25.59,22.48
20130101,1:30,0,3.91,7.86,7.233,10.69,12.14,20.66,25.59,22.47
20130101,1:40,0,3.899,7.85,7.227,10.69,12.14,20.65,25.59,22.47
20130101,1:50,0,3.895,7.839,7.221,10.69,12.14,20.65,25.59,22.47
20130101,2:00,0,3.893,7.829,7.216,10.69,12.14,20.64,25.59,22.48
20130101,2:10,0,3.883,7.819,7.21,10.68,12.14,20.63,25.59,22.48
20130101,2:20,0,3.883,7.812,7.203,10.68,12.14,20.63,25.59,22.47
20130101,2:30,0,3.88,7.804,7.198,10.68,12.14,20.62,25.59,22.47
20130101,2:40,0,3.875,7.794,7.191,10.68,12.14,20.62,25.58,22.47
20130101,2:50,0,3.868,7.787,7.186,10.68,12.14,20.61,25.59,22.47
20130101,3:00,0,3.862,7.78,7.18,10.68,12.14,20.6,25.58,22.47
20130101,3:10,0,3.857,7.773,7.173,10.67,12.15,20.6,25.58,22.47
20130101,3:20,0,3.863,7.763,7.167,10.67,12.14,20.59,25.59,22.47
20130101,3:30,0,3.852,7.76,7.161,10.67,12.15,20.59,25.58,22.47
20130101,3:40,0,3.851,7.749,7.154,10.66,12.15,20.58,25.58,22.47
